news_source,news_title,news_link,news_publish_date
CNC3 Television,"Cops kill 2: Police claim they were fired upon during raid on house; relatives dispute account, call for probe",https://www.cnc3.co.tt/cops-kill-2-police-claim-they-were-fired-upon-during-raid-on-house-relatives-dispute-account-call-for-probe/?utm_source=rss&utm_medium=rss&utm_campaign=cops-kill-2-police-claim-they-were-fired-upon-during-raid-on-house-relatives-dispute-account-call-for-probe,"Mon, 17 Aug 2026 03:04:34 +0000"
CNC3 Television,Guevarro’s absence sparks debate over police leadership,https://www.cnc3.co.tt/guevarros-absence-sparks-debate-over-police-leadership/?utm_source=rss&utm_medium=rss&utm_campaign=guevarros-absence-sparks-debate-over-police-leadership,"Mon, 17 Aug 2026 03:04:32 +0000"
CNC3 Television,Ramsey-Moore blasts police handling of Silver Stars clash at Tribe event,https://www.cnc3.co.tt/ramsey-moore-blasts-police-handling-of-silver-stars-clash-at-tribe-event/?utm_source=rss&utm_medium=rss&utm_campaign=ramsey-moore-blasts-police-handling-of-silver-stars-clash-at-tribe-event,"Mon, 17 Aug 2026 03:04:31 +0000"
CNC3 Television,Family awaits autopsy after dancer’s sudden death,https://www.cnc3.co.tt/family-awaits-autopsy-after-dancers-sudden-death/?utm_source=rss&utm_medium=rss&utm_campaign=family-awaits-autopsy-after-dancers-sudden-death,"Mon, 17 Aug 2026 03:04:29 +0000"
CNC3 Television,PH taxi driver shot during robbery in Chaguanas,https://www.cnc3.co.tt/ph-taxi-driver-shot-during-robbery-in-chaguanas/?utm_source=rss&utm_medium=rss&utm_campaign=ph-taxi-driver-shot-during-robbery-in-chaguanas,"Mon, 17 Aug 2026 03:04:28 +0000"
CNC3 Television,Seven held in Southern Division anti-crime operation,https://www.cnc3.co.tt/seven-held-in-southern-division-anti-crime-operation/?utm_source=rss&utm_medium=rss&utm_campaign=seven-held-in-southern-division-anti-crime-operation,"Mon, 17 Aug 2026 03:04:27 +0000"
CNC3 Television,Nutrien review advances with third-party visits to Point Lisas facility,https://www.cnc3.co.tt/nutrien-review-advances-with-third-party-visits-to-point-lisas-facility/?utm_source=rss&utm_medium=rss&utm_campaign=nutrien-review-advances-with-third-party-visits-to-point-lisas-facility,"Mon, 17 Aug 2026 03:04:26 +0000"
CNC3 Television,SWWTU demands $337M backpay for port workers,https://www.cnc3.co.tt/swwtu-demands-337m-backpay-for-port-workers/?utm_source=rss&utm_medium=rss&utm_campaign=swwtu-demands-337m-backpay-for-port-workers,"Mon, 17 Aug 2026 03:04:24 +0000"
CNC3 Television,Barbados envoy defends CCJ amid controversy,https://www.cnc3.co.tt/barbados-envoy-defends-ccj-amid-controversy/?utm_source=rss&utm_medium=rss&utm_campaign=barbados-envoy-defends-ccj-amid-controversy,"Mon, 17 Aug 2026 03:04:22 +0000"
CNC3 Television,VS Naipaul’s legacy celebrated at annual memorial today,https://www.cnc3.co.tt/vs-naipauls-legacy-celebrated-at-annual-memorial-today/?utm_source=rss&utm_medium=rss&utm_campaign=vs-naipauls-legacy-celebrated-at-annual-memorial-today,"Mon, 17 Aug 2026 03:04:20 +0000"
TTT Live Online,"SporTT, Ministry Clarify Funding Support For Secondary Schools Football League",https://www.ttt.live/sportt-ministry-clarify-funding-support-for-secondary-schools-football-league/?utm_source=rss&utm_medium=rss&utm_campaign=sportt-ministry-clarify-funding-support-for-secondary-schools-football-league,"Mon, 17 Aug 2026 01:04:16 +0000"
TTT Live Online,Arsenal Send Early Premier League Warning With Community Shield Win,https://www.ttt.live/arsenal-send-early-premier-league-warning-with-community-shield-win/?utm_source=rss&utm_medium=rss&utm_campaign=arsenal-send-early-premier-league-warning-with-community-shield-win,"Mon, 17 Aug 2026 00:51:43 +0000"
TTT Live Online,Tacarigua Entrepreneur Receives SEED Grant To Grow Baking Business,https://www.ttt.live/tacarigua-entrepreneur-receives-seed-grant-to-grow-baking-business/?utm_source=rss&utm_medium=rss&utm_campaign=tacarigua-entrepreneur-receives-seed-grant-to-grow-baking-business,"Mon, 17 Aug 2026 00:43:14 +0000"
TTT Live Online,175 Years In The Saddle: TTPS Mounted Branch Celebrates Milestone,https://www.ttt.live/175-years-in-the-saddle-ttps-mounted-branch-celebrates-milestone/?utm_source=rss&utm_medium=rss&utm_campaign=175-years-in-the-saddle-ttps-mounted-branch-celebrates-milestone,"Mon, 17 Aug 2026 00:26:16 +0000"
TTT Live Online,Nagassar Remembered For Decades Of Public And Community Service,https://www.ttt.live/nagassar-remembered-for-decades-of-public-and-community-service/?utm_source=rss&utm_medium=rss&utm_campaign=nagassar-remembered-for-decades-of-public-and-community-service,"Mon, 17 Aug 2026 00:15:16 +0000"
TTT Live Online,Jamaica Kingsmen Hand TKR First Defeat Of CPL Campaign,https://www.ttt.live/jamaica-kingsmen-hand-tkr-first-defeat-of-cpl-campaign/?utm_source=rss&utm_medium=rss&utm_campaign=jamaica-kingsmen-hand-tkr-first-defeat-of-cpl-campaign,"Sun, 16 Aug 2026 23:56:21 +0000"
TTT Live Online,Free Pap Smears Offered At Foundation Cervical Cancer Awareness Event,https://www.ttt.live/free-pap-smears-offered-at-foundation-cervical-cancer-awareness-event/?utm_source=rss&utm_medium=rss&utm_campaign=free-pap-smears-offered-at-foundation-cervical-cancer-awareness-event,"Sun, 16 Aug 2026 22:29:23 +0000"
TTT Live Online,T&TEC Revives African Emancipation Day Celebrations,https://www.ttt.live/ttec-revives-african-emancipation-day-celebrations/?utm_source=rss&utm_medium=rss&utm_campaign=ttec-revives-african-emancipation-day-celebrations,"Sun, 16 Aug 2026 22:15:51 +0000"
TTT Live Online,Mayaro MP Pays Tribute To Former Councillor,https://www.ttt.live/mayaro-mp-pays-tribute-to-former-councillor/?utm_source=rss&utm_medium=rss&utm_campaign=mayaro-mp-pays-tribute-to-former-councillor,"Sun, 16 Aug 2026 18:51:48 +0000"
TTT Live Online,TTPS Mounted Branch Celebrates 175 years Of Service,https://www.ttt.live/ttps-mounted-branch-celebrates-175-years-of-service/?utm_source=rss&utm_medium=rss&utm_campaign=ttps-mounted-branch-celebrates-175-years-of-service,"Sun, 16 Aug 2026 14:26:15 +0000"
Trinidad Express (via Google),New magistrate takes over Paria divers’ death case - Trinidad Express Newspapers,https://news.google.com/rss/articles/CBMi0wFBVV95cUxNM1lHZ0xkNnJpa1dHaW5KSEJINzZqYXExcFZDY2g5bE9FUlpfbmFJeFN0bkJzbER4M0JvV2dEYW10czRQMTZLYWRQUEtVRWRPY2R1UTVSMlBIUkt1Mnp1QzBQS1pOQm92S012VHZ5MURxSWtjTjk4VDhsT0dtaERUcGdGb0R3WHJVSzlRQ18xRVpPMVNIY0IyeV9lVFlRdEVMUlRwdDRrbzQ5S3JJbkpNNDJDam5mQ3BvWFZIanFEeUU4Uk96SjFfaEZ0VlB6aTlGOGM00gHYAUFVX3lxTE0tdEZRbGhydVoxVUZjTElOc1JQVkFudTJzYndqUHlYcWU2ZW91UzhSc19ER1lnNTVCdE9TNHRUY1hucnJaM2RDcWF3YVU3VnFDazhhOW96NWF5WGlJZVM2Qkt5VHhwN24yWnJ1YVl5TWljNkZ4Ql9WV1Zya3QweGVTZ2dVTG1ZM3diTWVuTndpdWdYRkd0cG40QV82NTA3R1gtRTUxV05YTW5nZXdMZ0E1VXdtM19kU3hVOVJyT1p2dmc3RlN5bjdCQWVZcHlmS2tXLV8zUDhiMg?oc=5,"Sat, 15 Aug 2026 14:17:00 GMT"
Trinidad Express (via Google),‘Heads will roll come Wednesday’ - Trinidad Express Newspapers,https://news.google.com/rss/articles/CBMiuwFBVV95cUxPWVc5WWg2cmJHdVZOeTB1WG5wbXZJeVQ0anJ3VzRnUG1HZmZxRGJPaTBaLXp0NmV6c2djd1ZwcWVSWFBLMVp6R0hLMElxZzFBaEFjLTB0MVJDN3NNUlpEWk14WVVRdFZtNHFUZGRfUnNTcXFQeXZfc2ludzNNR0psSWRWaFViNmcxUTZrdmJtcDM0R0pka0tLYnp0eHhtanFlX1Y4Z0cxYkVOdmxUN0xlS2NXTXQwNTMtRkdj0gHAAUFVX3lxTE9sVFhLYkcyaFZwZWlvcXIxTUY3VzMwQkdycW1lMW5EVzZCd1lUcVAtYllQOHNabjRZQXU2OUt3WWlTcEY5MEppN2RMc0ZoaVllMnVBbWRabVZLVy03YmMxcHdXeWpQVjExMVFJaU45eUx4cFN2QzR5MUFDcFZrQ1ZFZ04tREJUcjVWWDhmdGZqMWJwMjQyX3pwVVlkMFUxQ1BFZkJBeHhFQ1dhd1RXM0VrZW1zdUIxWEVub0phVWZiUQ?oc=5,"Sun, 16 Aug 2026 09:00:00 GMT"
